iter	Passed	Remaining
469	23236	26202
470	23283	26150
471	23331	26099
472	23378	26047
473	23424	25994
474	23472	25943
475	23520	25891
476	23565	25838
477	23615	25789
478	23662	25736
479	23710	25686
480	23758	25635
481	23807	25585
482	23854	25534
483	23901	25481
484	23949	25430
485	23995	25378
486	24041	25324
487	24087	25272
488	24133	25218
489	24179	25166
490	24225	25113
491	24272	25061
492	24317	25008
493	24367	24959
494	24417	24910
495	24469	24864
496	24518	24814
497	24565	24762
498	24611	24710
499	24658	24658
500	24705	24606
501	24752	24555
502	24798	24502
503	24845	24450
504	24893	24400
505	24938	24347
506	24986	24296
507	25031	24242
508	25077	24190
509	25124	24138
510	25169	24086
511	25215	24033
512	25264	23984
513	25311	23932
514	25357	23880
515	25403	23828
516	25449	23776
517	25498	23726
518	25544	23674
519	25590	23621
520	25635	23569
521	25682	23517
522	25729	23466
523	25777	23415
524	25824	23365
525	25871	23313
526	25919	23263
527	25965	23211
528	26010	23158
529	26057	23107
530	26103	23055
531	26149	23004
532	26196	22952
533	26243	22901
534	26292	22852
535	26342	22803
536	26389	22753
537	26438	22703
538	26484	22652
539	26531	22600
540	26578	22550
541	26625	22498
542	26676	22451
543	26726	22403
544	26777	22355
545	26823	22303
546	26870	22252
547	26918	22202
548	26965	22151
549	27012	22101
550	27058	22049
551	27107	22000
552	27154	21949
553	27201	21898
554	27248	21847
555	27295	21796
556	27341	21745
557	27387	21693
558	27433	21642
559	27481	21592
560	27527	21541
561	27575	21490
562	27620	21439
563	27668	21388
564	27715	21338
565	27762	21287
566	27809	21237
567	27854	21185
568	27901	21134
569	27950	21085
570	27996	21034
571	28043	20983
572	28089	20932
573	28135	20880
574	28181	20829
575	28228	20779
576	28277	20729
577	28323	20679
578	28372	20629
579	28418	20578
580	28464	20527
581	28511	20477
582	28558	20427
583	28605	20376
584	28651	20325
585	28700	20276
586	28747	20226
587	28796	20177
588	28842	20126
589	28891	20076
590	28942	20029
591	28993	19981
592	29043	19933
593	29089	19882
594	29140	19835
595	29186	19783
596	29233	19733
597	29280	19683
598	29328	19633
599	29375	19583
600	29423	19534
601	29470	19483
602	29518	19434
603	29565	19384
604	29612	19333
605	29658	19283
606	29706	19233
607	29756	19184
608	29802	19134
609	29848	19083
610	29892	19031
611	29938	18980
612	29983	18929
613	30030	18879
614	30078	18829
615	30124	18778
616	30170	18728
617	30215	18677
618	30264	18628
619	30311	18578
620	30361	18529
621	30408	18479
622	30453	18428
623	30499	18378
624	30547	18328
625	30594	18278
626	30640	18228
627	30686	18177
628	30732	18127
629	30782	18078
630	30829	18028
631	30876	17978
632	30921	17927
633	30966	17876
634	31013	17826
635	31060	17776
636	31108	17727
637	31156	17677
638	31206	17629
639	31259	17583
640	31308	17534
641	31357	17486
642	31404	17435
643	31450	17385
644	31496	17335
645	31544	17286
646	31593	17237
647	31638	17186
648	31684	17135
649	31730	17085
650	31777	17035
651	31824	16986
652	31869	16935
653	31915	16885
654	31962	16835
655	32009	16785
656	32056	16735
657	32103	16685
658	32149	16636
659	32198	16586
660	32247	16538
661	32295	16489
662	32344	16440
663	32391	16391
664	32437	16340
665	32484	16290
666	32534	16243
667	32581	16193
668	32631	16144
669	32677	16094
670	32723	16044
671	32773	15996
672	32819	15946
673	32866	15897
674	32913	15847
675	32959	15797
676	33007	15748
677	33054	15698
678	33101	15648
679	33147	15598
680	33193	15548
681	33240	15499
682	33287	15449
683	33334	15399
684	33380	15349
685	33428	15301
686	33480	15253
687	33532	15206
688	33582	15158
689	33628	15108
690	33674	15058
691	33722	15009
692	33771	14960
693	33819	14911
694	33865	14861
695	33912	14812
696	33959	14762
697	34005	14713
698	34051	14663
699	34096	14612
700	34143	14563
701	34188	14513
702	34234	14463
703	34281	14413
704	34328	14364
705	34374	14314
706	34422	14265
707	34469	14216
708	34516	14166
709	34561	14116
710	34608	14067
711	34655	14017
712	34701	13968
713	34750	13919
714	34798	13870
715	34845	13821
716	34892	13772
717	34939	13722
718	34985	13673
719	35032	13623
720	35077	13573
721	35123	13523
722	35170	13474
723	35218	13425
724	35265	13376
725	35312	13327
726	35358	13277
727	35405	13228
728	35450	13178
729	35497	13129
730	35544	13080
731	35594	13031
732	35640	12982
733	35688	12933
734	35743	12887
735	35798	12840
736	35848	12792
737	35898	12744
738	35955	12698
739	36005	12650
740	36053	12601
741	36100	12552
742	36145	12502
743	36193	12453
744	36240	12404
745	36286	12355
746	36333	12305
747	36380	12256
748	36428	12207
749	36473	12157
750	36520	12108
751	36566	12059
752	36613	12009
753	36659	11960
754	36706	11911
755	36754	11862
756	36801	11813
757	36846	11763
758	36894	11714
759	36941	11665
760	36989	11616
761	37035	11567
762	37080	11517
763	37127	11468
764	37175	11419
765	37223	11371
766	37270	11321
767	37316	11272
768	37363	11223
769	37409	11174
770	37456	11125
771	37501	11075
772	37547	11026
773	37595	10977
774	37642	10928
775	37689	10879
776	37738	10830
777	37785	10781
778	37832	10732
779	37878	10683
780	37928	10635
781	37978	10587
782	38032	10540
783	38084	10492
784	38130	10443
785	38176	10394
786	38226	10345
787	38273	10296
788	38321	10248
789	38366	10198
790	38414	10149
791	38461	10100
792	38508	10052
793	38555	10002
794	38601	9953
795	38648	9904
796	38694	9855
797	38743	9807
798	38792	9758
799	38839	9709
800	38886	9660
801	38931	9611
802	38978	9562
803	39025	9513
804	39069	9464
805	39116	9415
806	39162	9365
807	39211	9317
808	39263	9269
809	39315	9222
810	39368	9174
811	39420	9126
812	39469	9078
813	39519	9030
814	39567	8981
815	39620	8933
816	39666	8884
817	39716	8836
818	39766	8788
819	39814	8739
820	39861	8690
821	39910	8642
822	39962	8594
823	40015	8546
824	40065	8498
825	40114	8450
826	40160	8401
827	40208	8352
828	40260	8304
829	40313	8256
830	40361	8208
831	40409	8159
832	40458	8111
833	40504	8062
834	40551	8013
835	40597	7964
836	40643	7915
837	40688	7865
838	40737	7817
839	40785	7768
840	40833	7719
841	40881	7671
842	40929	7622
843	40976	7573
844	41022	7524
845	41069	7476
846	41116	7427
847	41162	7378
848	41210	7329
849	41260	7281
850	41309	7232
851	41355	7183
852	41402	7134
853	41450	7086
854	41495	7037
855	41540	6988
856	41586	6939
857	41633	6890
858	41682	6841
859	41730	6793
860	41779	6744
861	41825	6695
862	41872	6647
863	41919	6598
864	41967	6549
865	42012	6500
866	42059	6452
867	42104	6403
868	42151	6354
869	42200	6305
870	42247	6257
871	42298	6208
872	42345	6160
873	42391	6111
874	42438	6062
875	42489	6014
876	42540	5966
877	42594	5918
878	42643	5870
879	42690	5821
880	42739	5772
881	42785	5724
882	42831	5675
883	42878	5626
884	42929	5578
885	42978	5529
886	43026	5481
887	43073	5432
888	43121	5384
889	43173	5335
890	43225	5287
891	43276	5239
892	43332	5192
893	43382	5143
894	43433	5095
895	43485	5047
896	43537	4999
897	43592	4951
898	43649	4903
899	43699	4855
900	43748	4806
901	43799	4758
902	43849	4710
903	43895	4661
904	43944	4612
905	43993	4564
906	44040	4515
907	44089	4467
908	44146	4419
909	44196	4371
910	44246	4322
911	44299	4274
912	44347	4225
913	44399	4177
914	44451	4129
915	44500	4080
916	44550	4032
917	44599	3983
918	44645	3935
919	44692	3886
920	44743	3837
921	44796	3789
922	44847	3741
923	44902	3693
924	44959	3645
925	45009	3596
926	45060	3548
927	45110	3499
928	45162	3451
929	45213	3403
930	45261	3354
931	45311	3306
932	45364	3257
933	45412	3209
934	45460	3160
935	45507	3111
936	45558	3063
937	45609	3014
938	45659	2966
939	45710	2917
940	45768	2869
941	45824	2821
942	45875	2772
943	45928	2724
944	45980	2676
945	46029	2627
946	46078	2578
947	46124	2530
948	46174	2481
949	46221	2432
950	46270	2384
951	46319	2335
952	46368	2286
953	46420	2238
954	46470	2189
955	46520	2141
956	46568	2092
957	46615	2043
958	46664	1995
959	46713	1946
960	46762	1897
961	46812	1849
962	46867	1800
963	46918	1752
964	46974	1703
965	47029	1655
966	47084	1606
967	47139	1558
968	47194	1509
969	47251	1461
970	47304	1412
971	47359	1364
972	47412	1315
973	47467	1267
974	47541	1219
975	47626	1171
976	47690	1122
977	47750	1074
978	47808	1025
979	47862	976
980	47920	928
981	47982	879
982	48043	830
983	48104	782
984	48166	733
985	48225	684
986	48281	635
987	48338	587
988	48393	538
989	48450	489
990	48501	440
991	48550	391
992	48598	342
993	48648	293
994	48702	244
995	48755	195
996	48831	146
997	48916	98
998	49002	49
999	49084	0
